gaia_dr3_id,log_bf_PR,log_bf_PR_std,period,period_std,ra,dec,bp_rp,mean_mag_g_fov,quaia_unwise_id,CatNorth_CATWISE2020_id,CatNorth_PS1_id,AllWISE,AllWISE_R90_id,AllWISE_C75_id,Milliquas_v65_id,SDSS_DR14Q_id,LQAC_v5,Gaia_unWISE_id
3833390802831725824,3.2001025046161087,0.5977774613745979,571.4102374325089,13.024729338589479,151.05367041804837,0.2159933919871835,0.6606655,18.566336,1512p000o0014967,1512p000_b0-004159,108251510536689626,J100412.87+001257.6,J100412.87+001257.6,J100412.87+001257.6,2QZ J100412.8+001257,100412.88+001257.5,LQAC_151+000_006,1512p000o0014967
3846850989822335488,3.620323536612352,1.9710385608506047,154.7495447059933,2.5390775265972034,148.14037976937084,2.2360540342029602,1.0880451,20.065779,1482p015o0022779,1482p015_b0-002346,110681481403593756,J095233.68+021409.8,J095233.68+021409.8,J095233.68+021409.8,WISEA J095233.68+021409.8,,,1482p015o0022779
586825573541329536,4.393738918783325,2.657437006220538,597.4079157112895,6.554826994790699,139.50901225641158,7.176273160012656,0.70160294,19.938036,,1388p075_b0-006327,116611395090241994,,J091802.19+071035.5,J091802.19+071035.5,SDSS J091802.16+071034.5,,,1388p075o0005895
3870752104863883264,3.32554208543043,1.3791691150512229,520.2747750508155,12.768208178545649,160.79804467665573,11.3971572548038,0.66116524,18.374489,1606p121o0000900,1606p121_b0-000858,121671607980217066,J104311.53+112349.8,J104311.53+112349.8,J104311.53+112349.8,SDSS J104311.52+112349.7,104311.52+112349.7,LQAC_160+011_015,1606p121o0000900
3910443688648412544,3.2749941959053546,1.4384404677520135,663.3496837163732,16.481792570048974,174.157582432619,7.2918107335328886,0.42012024,19.923618,1738p075o0007279,1738p075_b0-010090,116751741575400652,,J113637.82+071730.2,J113637.82+071730.2,SDSS J113637.81+071730.4,,,1738p075o0007279
3912069758970991232,4.041681792523479,2.630992443817953,632.2290095829364,12.371927872434574,178.48836029275643,9.376222867758575,0.4203415,19.62112,1777p090o0015839,1792p090_b0-002890,119251784884291963,,J115357.21+092234.2,J115357.21+092234.2,SDSS J115357.20+092234.4,,,1777p090o0015839
3948946451254090752,4.778547179606311,3.3142506525935387,549.4607381096793,10.970876300901715,186.32950911760878,19.92152950158102,0.5072155,20.46427,1856p196o0016603,1856p196_b0-017323,131901863295216343,,J122519.10+195517.5,J122519.10+195517.5,SDSS J122519.07+195517.4,,,1856p196o0016603
3973138284045004288,3.339714996525101,1.1687674439818363,579.2225340645788,12.011041209391701,175.1927789359756,17.235714375822905,0.6001568,18.649248,1744p166o0020546,1744p166_b0-002951,128681751927693390,J114046.27+171408.4,J114046.27+171408.4,J114046.27+171408.4,SDSS J114046.26+171408.5,114046.26+171408.5,LQAC_175+017_006,1744p166o0020546
3995957307849856640,3.3765874042841117,1.7609664569349472,591.3061985908246,16.649806366700673,164.53196805020318,24.4653247477718,0.719471,19.54672,1651p242o0014679,1651p242_b0-004260,137351645320258938,,,,SDSS J105807.66+242755.1,105807.66+242755.1,LQAC_164+024_023,1651p242o0014679
1350554768330099712,3.063120266679438,1.4911679597957836,623.4214885640109,18.091897838559255,267.99337855129176,45.55675319445982,0.41432,20.2366,2684p454o0021007,2684p454_b0-034106,162662679933758751,,,,SDSS J175158.41+453324.6,,,2684p454o0021007
