sourceid,sigma_med,sigma_upper,sigma_lower,tau_med,tau_upper,tau_lower,mean_med,mean_upper,mean_lower,gamma_med,gamma_upper,gamma_lower,num_obs,magnitude_mean,magnitude_std,dominant_period,ra,dec
3091052022645490560,0.39827609646595125,0.08248853391550104,0.06094534331307366,2.0548402190045163,1.1085943193607033,0.6849124307742276,18.62919435264452,0.08857699360167004,0.09003055484883404,1.1119144201604092,0.08289383360889557,0.05126141192635103,55,18.79753884439591,0.33980749670037363,458.62399993258197,122.29339655596057,2.930228341235352
4876845552549473152,0.03911175126978844,0.006574097747675471,0.005138811187948282,1.4300309521427848,0.767248425521937,0.4949298325759457,15.894290569582294,0.007209881721800926,0.007230717681970589,1.140937193038345,0.10303424601401256,0.06566589603487549,56,15.893652533337297,0.03372827683008524,666.639950097423,76.07932578896724,-29.744199364875058
4866499148131158272,0.06904756519906008,0.012300641837808157,0.009437016627019179,1.7702402112140205,1.1512809623145637,0.7005863534568864,17.006137066981132,0.013247882247195975,0.013233095516799409,1.1603861952676247,0.1285939452244771,0.07733379834001619,44,17.00281055398258,0.0558356913189712,694.6769583325457,69.22707080258112,-37.260755355553044
1474818072105266944,0.16617944455039654,0.03026758180577338,0.023281037611822625,1.670632274844048,1.0641233711228868,0.6313641309311151,20.116276065943783,0.03230828623233961,0.0327639738679828,1.120814016475817,0.08677328614513291,0.05538331193537038,63,20.117667963076787,0.1441028981032777,750.9169591793749,199.75362836115795,37.73720980824973
5623533760221472384,0.04236553008682849,0.0068883243849199305,0.005356678032044947,0.9053183556027887,0.4186541958667792,0.2775765074678299,14.934965338263813,0.007583188561326892,0.007600024714848885,1.12400472707116,0.08889692991776221,0.05711759574274611,70,14.93464358159097,0.03598740726904652,895.9446163615108,139.7787072234044,-35.64084347277422
5015127281684030336,0.06581781503036116,0.012541459462931198,0.00929056468915964,3.4343982729356686,2.1072665254748193,1.1994127083772899,17.58921077700291,0.013154972779496177,0.013555519483336553,1.073935503570015,0.048959592923816464,0.03215215664439208,91,17.618742249586564,0.051704689212985794,926.0090513942214,21.63526141762772,-34.09805807549964
4394574219026344832,0.16592538054614406,0.033705319750815255,0.024894755103317984,3.938125253267401,2.2920896617945017,1.3544329764768976,18.82382728621289,0.035393520700470305,0.03580061612136731,1.0688580218698467,0.04428139113811458,0.029662283092491082,94,18.835566166171883,0.1388872446304753,937.8271711183799,258.567910919035,7.17030996971129
4947320945057622400,0.1680662216379634,0.026564473443829617,0.020770641165425652,0.9815778910182558,0.5030346812927264,0.33199938560662345,18.620095156504384,0.0296680032452592,0.029643594144477703,1.1557793647997738,0.1118726631426945,0.07304257753674603,54,18.612903440055433,0.14914016116938736,948.9285012971432,42.366831126870665,-43.854048026315105
6530809691273048960,0.04703160055725038,0.008983663380223883,0.0066867581295351405,1.7224015510059931,1.0096318850909245,0.6071972025120693,17.072196567417745,0.00938295813315193,0.009540949746369876,1.1049677648717033,0.07429674591951962,0.047351468305468325,65,17.077134884189537,0.038285859279518164,952.7973213535633,359.53844430669096,-46.08357160360864
4935848026554944000,0.14808325077288664,0.023023455934441606,0.018240354286444882,1.8732279109878767,0.925706997661575,0.5940840366860394,18.667020116368747,0.026295408747209592,0.026287188397603245,1.0938389520577092,0.06281242318245228,0.04115441392417618,77,18.686024495320456,0.12741513547163097,968.811382415224,22.505103106255042,-42.67230553856691
4946491814507959424,0.07862042790162774,0.014359437899306313,0.011045747938557407,2.1338492410269776,1.3132807652540848,0.7942202045306752,17.836132098031015,0.015352313896745073,0.015451203559305071,1.1138739568807303,0.07926893691363257,0.051705905075915215,54,17.83767000241305,0.06451287186435341,977.6817522944409,36.82248831428088,-44.557144457689105
552258375370640640,0.07280540344117357,0.011969882470281842,0.009351892482395263,4.07816463267966,2.9008348464738756,1.6293079708104137,15.862716420178021,0.013199762820537586,0.013314867844330891,1.1273643279424452,0.10461988445613946,0.06255291801892193,55,15.86890346872028,0.06133941479369324,998.8708297609305,79.96428470885348,76.93353715756047
3531556654642128896,0.0881663997312347,0.019901270426088177,0.014361893472186416,5.516696045759816,3.769004097580363,2.1559103098654866,15.67348124359215,0.02002719420099197,0.020327501795817327,1.0942937196478688,0.07040320210133943,0.04325946675321468,55,15.679839724534531,0.06812847126307246,1012.9758932516182,170.75953166854094,-27.501184650811055
