# Id, RA, Dec, z, mag, period, logmbh, r, t_insp, dt_gw
SDSS_J084146.19+503601.1,08 41 46.3,+50 36 00.5,0.555,18.49,1694,7.44,0.003,1.1e+07,0.00
BZQJ0842+4525,08 42 15.3,+45 25 45.0,1.408,17.20,1886,9.48,0.012,1.7e+03,7.33
SDSS_J091554.50+352949.6,09 15 54.5,+35 29 49.9,0.896,17.92,1369,9.05,0.008,7.3e+03,1.48
SBS_0920+590,09 23 58.7,+58 49 06.3,0.709,16.76,0649,8.76,0.004,4.1e+03,0.42
SDSS_J092911.35+203708.5,09 29 11.3,+20 37 09.2,1.845,18.51,1785,9.92,0.014,1.8e+02,36.19
HS_0926+3608,09 29 52.1,+35 54 49.6,2.150,16.99,1562,9.95,0.012,84,38.78
SDSS_J093819.25+361858.7,09 38 19.3,+36 18 58.9,1.677,18.80,1265,9.32,0.007,8.3e+02,3.33
SDSS_J094450.76+151236.9,09 44 50.7,+15 12 37.5,2.118,17.72,1428,9.61,0.009,2.6e+02,10.02
SDSS_J094715.56+631716.4,09 47 15.6,+63 17 17.3,0.487,16.10,1724,9.22,0.012,1.3e+04,4.32
HS_0946+4845,09 50 00.7,+48 31 29.9,0.589,16.87,1587,8.59,0.007,1e+05,0.33
KUV_09484+3557,09 51 23.9,+35 42 49.2,0.398,17.77,1162,8.31,0.005,1.8e+05,0.13
SDSS_J102255.21+172155.7,10 22 55.2,+17 21 56.0,1.062,18.48,1666,8.69,0.006,3.9e+04,0.37
SDSS_J102349.38+522151.2,10 23 49.5,+52 21 51.8,0.955,16.96,1785,9.59,0.014,1.8e+03,12.10
RXS_J10304+5516,10 30 25.0,+55 16 23.4,0.435,16.74,1515,8.43,0.006,2.2e+05,0.21
SDSS_J103111.52+491926.5,10 31 11.5,+49 19 27.2,1.203,17.64,1612,9.04,0.008,7.8e+03,1.34
SDSS_J104430.25+051857.2,10 44 30.3,+05 18 56.8,0.905,17.33,1333,9.24,0.009,3.3e+03,2.98
SDSS_J104758.34+284555.8,10 47 58.3,+28 45 56.2,0.792,19.09,1851,8.72,0.008,6.9e+04,0.47
SDSS_J104941.01+085548.4,10 49 41.0,+08 55 48.5,1.185,17.87,1428,9.37,0.009,1.7e+03,4.52
MS_10548-0335,10 57 22.3,--3 51 31.3,0.555,17.67,0892,0.00,0.000,0,0.00
CSO_67,11 03 27.5,+29 48 11.2,0.909,17.52,2083,9.35,0.013,7.1e+03,5.18
SDSS_J110554.78+322953.7,11 05 54.8,+32 29 54.1,0.151,17.45,1724,8.24,0.007,1.2e+06,0.24
SDSS_J113050.21+261211.4,11 30 50.2,+26 12 11.8,1.012,17.69,2173,9.32,0.013,7.6e+03,4.58
